local_date,day_state,target_count,raw_message_count,operational_message_count,non_operational_message_count,incident_like_message_count,duplicate_candidate_members,reconstructed_incident_count_lower_bound,compiled_local_message_count,required_utc_source_dates,source_statuses,coverage_complete
2021-07-17,observed_nonzero,5,7,0,7,7,4,5,0,2021-07-17|2021-07-18,2021-07-17:nonempty_completed|2021-07-18:nonempty_completed,True
2021-07-18,observed_nonzero,5,6,0,6,6,2,5,0,2021-07-18|2021-07-19,2021-07-18:nonempty_completed|2021-07-19:nonempty_completed,True
2021-07-19,observed_nonzero,3,5,0,5,5,4,3,0,2021-07-19|2021-07-20,2021-07-19:nonempty_completed|2021-07-20:nonempty_completed,True
2021-07-20,observed_nonzero,1,1,0,1,1,0,1,0,2021-07-20|2021-07-21,2021-07-20:nonempty_completed|2021-07-21:nonempty_completed,True
2021-07-21,coverage_unknown,,3,0,3,3,2,2,0,2021-07-21|2021-07-22,2021-07-21:nonempty_completed|2021-07-22:empty_unverified,False
2021-07-22,coverage_unknown,,2,0,2,2,2,1,0,2021-07-22|2021-07-23,2021-07-22:empty_unverified|2021-07-23:nonempty_completed,False
2021-07-23,observed_nonzero,2,2,0,2,2,0,2,0,2021-07-23|2021-07-24,2021-07-23:nonempty_completed|2021-07-24:nonempty_completed,True
2021-07-24,observed_nonzero,6,8,0,8,8,3,6,0,2021-07-24|2021-07-25,2021-07-24:nonempty_completed|2021-07-25:nonempty_completed,True
2021-07-25,observed_nonzero,7,9,0,9,9,4,7,0,2021-07-25|2021-07-26,2021-07-25:nonempty_completed|2021-07-26:nonempty_completed,True
2021-07-26,observed_nonzero,2,2,0,2,2,0,2,0,2021-07-26|2021-07-27,2021-07-26:nonempty_completed|2021-07-27:nonempty_completed,True
2021-07-27,coverage_unknown,,2,0,2,2,2,1,0,2021-07-27|2021-07-28,2021-07-27:nonempty_completed|2021-07-28:absent,False
2021-07-28,coverage_unknown,,0,0,0,0,0,0,0,2021-07-28|2021-07-29,2021-07-28:absent|2021-07-29:absent,False
2021-07-29,coverage_unknown,,0,0,0,0,0,0,0,2021-07-29|2021-07-30,2021-07-29:absent|2021-07-30:absent,False
2021-07-30,coverage_unknown,,0,0,0,0,0,0,0,2021-07-30|2021-07-31,2021-07-30:absent|2021-07-31:absent,False
2021-07-31,coverage_unknown,,0,0,0,0,0,0,0,2021-07-31|2021-08-01,2021-07-31:absent|2021-08-01:absent,False
2021-08-01,coverage_unknown,,0,0,0,0,0,0,0,2021-08-01|2021-08-02,2021-08-01:absent|2021-08-02:absent,False
2021-08-02,coverage_unknown,,0,0,0,0,0,0,0,2021-08-02|2021-08-03,2021-08-02:absent|2021-08-03:absent,False
2021-08-03,coverage_unknown,,0,0,0,0,0,0,0,2021-08-03|2021-08-04,2021-08-03:absent|2021-08-04:absent,False
2021-08-04,coverage_unknown,,0,0,0,0,0,0,0,2021-08-04|2021-08-05,2021-08-04:absent|2021-08-05:absent,False
2021-08-05,coverage_unknown,,0,0,0,0,0,0,0,2021-08-05|2021-08-06,2021-08-05:absent|2021-08-06:absent,False
2021-08-06,coverage_unknown,,0,0,0,0,0,0,0,2021-08-06|2021-08-07,2021-08-06:absent|2021-08-07:absent,False
2021-08-07,coverage_unknown,,0,0,0,0,0,0,0,2021-08-07|2021-08-08,2021-08-07:absent|2021-08-08:absent,False
2021-08-08,coverage_unknown,,0,0,0,0,0,0,0,2021-08-08|2021-08-09,2021-08-08:absent|2021-08-09:absent,False
2021-08-09,coverage_unknown,,0,0,0,0,0,0,0,2021-08-09|2021-08-10,2021-08-09:absent|2021-08-10:absent,False
2021-08-10,coverage_unknown,,0,0,0,0,0,0,0,2021-08-10|2021-08-11,2021-08-10:absent|2021-08-11:absent,False
2021-08-11,coverage_unknown,,0,0,0,0,0,0,0,2021-08-11|2021-08-12,2021-08-11:absent|2021-08-12:absent,False
2021-08-12,coverage_unknown,,0,0,0,0,0,0,0,2021-08-12|2021-08-13,2021-08-12:absent|2021-08-13:absent,False
2021-08-13,coverage_unknown,,0,0,0,0,0,0,0,2021-08-13|2021-08-14,2021-08-13:absent|2021-08-14:absent,False
2021-08-14,coverage_unknown,,0,0,0,0,0,0,0,2021-08-14|2021-08-15,2021-08-14:absent|2021-08-15:absent,False
2021-08-15,coverage_unknown,,0,0,0,0,0,0,0,2021-08-15|2021-08-16,2021-08-15:absent|2021-08-16:absent,False
2021-08-16,coverage_unknown,,0,0,0,0,0,0,0,2021-08-16|2021-08-17,2021-08-16:absent|2021-08-17:absent,False
2021-08-17,coverage_unknown,,0,0,0,0,0,0,0,2021-08-17|2021-08-18,2021-08-17:absent|2021-08-18:absent,False
2021-08-18,coverage_unknown,,0,0,0,0,0,0,0,2021-08-18|2021-08-19,2021-08-18:absent|2021-08-19:absent,False
2021-08-19,coverage_unknown,,0,0,0,0,0,0,0,2021-08-19|2021-08-20,2021-08-19:absent|2021-08-20:absent,False
2021-08-20,coverage_unknown,,0,0,0,0,0,0,0,2021-08-20|2021-08-21,2021-08-20:absent|2021-08-21:absent,False
2021-08-21,coverage_unknown,,0,0,0,0,0,0,0,2021-08-21|2021-08-22,2021-08-21:absent|2021-08-22:absent,False
2021-08-22,coverage_unknown,,2,0,2,2,0,2,0,2021-08-22|2021-08-23,2021-08-22:absent|2021-08-23:nonempty_completed,False
2021-08-23,observed_nonzero,9,9,0,9,9,0,9,0,2021-08-23|2021-08-24,2021-08-23:nonempty_completed|2021-08-24:nonempty_completed,True
2021-08-24,observed_nonzero,4,5,0,5,5,2,4,0,2021-08-24|2021-08-25,2021-08-24:nonempty_completed|2021-08-25:nonempty_completed,True
2021-08-25,coverage_unknown,,2,0,2,2,0,2,0,2021-08-25|2021-08-26,2021-08-25:nonempty_completed|2021-08-26:empty_unverified,False
2021-08-26,coverage_unknown,,0,0,0,0,0,0,0,2021-08-26|2021-08-27,2021-08-26:empty_unverified|2021-08-27:nonempty_completed,False
2021-08-27,observed_nonzero,1,2,0,2,2,2,1,0,2021-08-27|2021-08-28,2021-08-27:nonempty_completed|2021-08-28:nonempty_completed,True
2021-08-28,observed_nonzero,4,4,0,4,4,0,4,0,2021-08-28|2021-08-29,2021-08-28:nonempty_completed|2021-08-29:nonempty_completed,True
2021-08-29,observed_nonzero,3,4,0,4,4,2,3,0,2021-08-29|2021-08-30,2021-08-29:nonempty_completed|2021-08-30:nonempty_completed,True
2021-08-30,observed_nonzero,4,4,0,4,4,0,4,0,2021-08-30|2021-08-31,2021-08-30:nonempty_completed|2021-08-31:nonempty_completed,True
2021-08-31,observed_zero,0,0,0,0,0,0,0,0,2021-08-31|2021-09-01,2021-08-31:nonempty_completed|2021-09-01:nonempty_completed,True
2021-09-01,observed_nonzero,1,2,0,2,2,2,1,0,2021-09-01|2021-09-02,2021-09-01:nonempty_completed|2021-09-02:nonempty_completed,True
2021-09-02,observed_nonzero,3,4,0,4,4,2,3,0,2021-09-02|2021-09-03,2021-09-02:nonempty_completed|2021-09-03:nonempty_completed,True
2021-09-03,observed_nonzero,4,5,0,5,5,2,4,0,2021-09-03|2021-09-04,2021-09-03:nonempty_completed|2021-09-04:nonempty_completed,True
2021-09-04,observed_nonzero,4,8,0,8,4,0,4,0,2021-09-04|2021-09-05,2021-09-04:nonempty_completed|2021-09-05:nonempty_completed,True
2021-09-05,observed_nonzero,1,1,0,1,1,0,1,0,2021-09-05|2021-09-06,2021-09-05:nonempty_completed|2021-09-06:nonempty_completed,True
2021-09-06,observed_nonzero,3,6,0,6,4,2,3,0,2021-09-06|2021-09-07,2021-09-06:nonempty_completed|2021-09-07:nonempty_completed,True
2021-09-07,observed_nonzero,1,1,0,1,1,0,1,0,2021-09-07|2021-09-08,2021-09-07:nonempty_completed|2021-09-08:nonempty_completed,True
2021-09-08,observed_nonzero,2,2,0,2,2,0,2,0,2021-09-08|2021-09-09,2021-09-08:nonempty_completed|2021-09-09:nonempty_completed,True
2021-09-09,observed_nonzero,1,1,0,1,1,0,1,0,2021-09-09|2021-09-10,2021-09-09:nonempty_completed|2021-09-10:nonempty_completed,True
2021-09-10,observed_nonzero,2,3,0,3,3,2,2,0,2021-09-10|2021-09-11,2021-09-10:nonempty_completed|2021-09-11:nonempty_completed,True
2021-09-11,observed_nonzero,10,10,0,10,10,0,10,0,2021-09-11|2021-09-12,2021-09-11:nonempty_completed|2021-09-12:nonempty_completed,True
2021-09-12,observed_nonzero,2,3,0,3,3,2,2,0,2021-09-12|2021-09-13,2021-09-12:nonempty_completed|2021-09-13:nonempty_completed,True
2021-09-13,observed_nonzero,2,2,0,2,2,0,2,0,2021-09-13|2021-09-14,2021-09-13:nonempty_completed|2021-09-14:nonempty_completed,True
2021-09-14,observed_nonzero,4,6,0,6,5,2,4,0,2021-09-14|2021-09-15,2021-09-14:nonempty_completed|2021-09-15:nonempty_completed,True
2021-09-15,observed_nonzero,4,4,0,4,4,0,4,0,2021-09-15|2021-09-16,2021-09-15:nonempty_completed|2021-09-16:nonempty_completed,True
2021-09-16,observed_nonzero,5,8,0,8,8,6,5,0,2021-09-16|2021-09-17,2021-09-16:nonempty_completed|2021-09-17:nonempty_completed,True
2021-09-17,observed_nonzero,7,11,0,11,10,4,7,0,2021-09-17|2021-09-18,2021-09-17:nonempty_completed|2021-09-18:nonempty_completed,True
2021-09-18,observed_nonzero,1,1,0,1,1,0,1,0,2021-09-18|2021-09-19,2021-09-18:nonempty_completed|2021-09-19:nonempty_completed,True
2021-09-19,observed_nonzero,1,1,0,1,1,0,1,0,2021-09-19|2021-09-20,2021-09-19:nonempty_completed|2021-09-20:nonempty_completed,True
2021-09-20,observed_nonzero,5,7,0,7,7,4,5,0,2021-09-20|2021-09-21,2021-09-20:nonempty_completed|2021-09-21:nonempty_completed,True
2021-09-21,observed_nonzero,4,5,0,5,5,2,4,0,2021-09-21|2021-09-22,2021-09-21:nonempty_completed|2021-09-22:nonempty_completed,True
2021-09-22,observed_nonzero,4,5,0,5,5,2,4,0,2021-09-22|2021-09-23,2021-09-22:nonempty_completed|2021-09-23:nonempty_completed,True
2021-09-23,observed_nonzero,5,5,0,5,5,0,5,0,2021-09-23|2021-09-24,2021-09-23:nonempty_completed|2021-09-24:nonempty_completed,True
2021-09-24,observed_nonzero,4,4,0,4,4,0,4,0,2021-09-24|2021-09-25,2021-09-24:nonempty_completed|2021-09-25:nonempty_completed,True
2021-09-25,coverage_unknown,,5,0,5,3,2,2,0,2021-09-25|2021-09-26,2021-09-25:nonempty_completed|2021-09-26:empty_unverified,False
2021-09-26,coverage_unknown,,0,0,0,0,0,0,0,2021-09-26|2021-09-27,2021-09-26:empty_unverified|2021-09-27:nonempty_completed,False
2021-09-27,coverage_unknown,,3,0,3,3,2,2,0,2021-09-27|2021-09-28,2021-09-27:nonempty_completed|2021-09-28:empty_unverified,False
2021-09-28,coverage_unknown,,0,0,0,0,0,0,0,2021-09-28|2021-09-29,2021-09-28:empty_unverified|2021-09-29:nonempty_completed,False
2021-09-29,observed_nonzero,3,3,0,3,3,0,3,0,2021-09-29|2021-09-30,2021-09-29:nonempty_completed|2021-09-30:nonempty_completed,True
2021-09-30,observed_nonzero,4,5,0,5,5,2,4,0,2021-09-30|2021-10-01,2021-09-30:nonempty_completed|2021-10-01:nonempty_completed,True
2021-10-01,observed_nonzero,2,3,0,3,3,2,2,0,2021-10-01|2021-10-02,2021-10-01:nonempty_completed|2021-10-02:nonempty_completed,True
2021-10-02,observed_nonzero,4,4,0,4,4,0,4,0,2021-10-02|2021-10-03,2021-10-02:nonempty_completed|2021-10-03:nonempty_completed,True
2021-10-03,observed_nonzero,2,2,0,2,2,0,2,0,2021-10-03|2021-10-04,2021-10-03:nonempty_completed|2021-10-04:nonempty_completed,True
2021-10-04,observed_nonzero,4,4,0,4,4,0,4,0,2021-10-04|2021-10-05,2021-10-04:nonempty_completed|2021-10-05:nonempty_completed,True
2021-10-05,observed_nonzero,1,1,0,1,1,0,1,0,2021-10-05|2021-10-06,2021-10-05:nonempty_completed|2021-10-06:nonempty_completed,True
2021-10-06,observed_nonzero,8,11,0,11,11,6,8,0,2021-10-06|2021-10-07,2021-10-06:nonempty_completed|2021-10-07:nonempty_completed,True
2021-10-07,observed_nonzero,3,4,0,4,3,0,3,0,2021-10-07|2021-10-08,2021-10-07:nonempty_completed|2021-10-08:nonempty_completed,True
2021-10-08,observed_nonzero,2,2,0,2,2,0,2,0,2021-10-08|2021-10-09,2021-10-08:nonempty_completed|2021-10-09:nonempty_completed,True
2021-10-09,observed_zero,0,0,0,0,0,0,0,0,2021-10-09|2021-10-10,2021-10-09:nonempty_completed|2021-10-10:nonempty_completed,True
2021-10-10,coverage_unknown,,1,0,1,1,0,1,0,2021-10-10|2021-10-11,2021-10-10:nonempty_completed|2021-10-11:empty_unverified,False
2021-10-11,coverage_unknown,,0,0,0,0,0,0,0,2021-10-11|2021-10-12,2021-10-11:empty_unverified|2021-10-12:nonempty_completed,False
2021-10-12,observed_nonzero,4,5,0,5,5,2,4,0,2021-10-12|2021-10-13,2021-10-12:nonempty_completed|2021-10-13:nonempty_completed,True
2021-10-13,observed_nonzero,8,10,0,10,10,4,8,0,2021-10-13|2021-10-14,2021-10-13:nonempty_completed|2021-10-14:nonempty_completed,True
2021-10-14,observed_nonzero,2,3,0,3,3,2,2,0,2021-10-14|2021-10-15,2021-10-14:nonempty_completed|2021-10-15:nonempty_completed,True
2021-10-15,observed_nonzero,1,1,0,1,1,0,1,0,2021-10-15|2021-10-16,2021-10-15:nonempty_completed|2021-10-16:nonempty_completed,True
2021-10-16,observed_nonzero,1,2,0,2,2,2,1,0,2021-10-16|2021-10-17,2021-10-16:nonempty_completed|2021-10-17:nonempty_completed,True
2021-10-17,observed_nonzero,5,8,0,8,8,5,5,0,2021-10-17|2021-10-18,2021-10-17:nonempty_completed|2021-10-18:nonempty_completed,True
2021-10-18,coverage_unknown,,7,0,7,7,5,4,0,2021-10-18|2021-10-19,2021-10-18:nonempty_completed|2021-10-19:empty_unverified,False
2021-10-19,coverage_unknown,,0,0,0,0,0,0,0,2021-10-19|2021-10-20,2021-10-19:empty_unverified|2021-10-20:nonempty_completed,False
2021-10-20,observed_nonzero,2,2,0,2,2,0,2,0,2021-10-20|2021-10-21,2021-10-20:nonempty_completed|2021-10-21:nonempty_completed,True
2021-10-21,observed_nonzero,2,2,0,2,2,0,2,0,2021-10-21|2021-10-22,2021-10-21:nonempty_completed|2021-10-22:nonempty_completed,True
2021-10-22,observed_nonzero,5,5,0,5,5,0,5,0,2021-10-22|2021-10-23,2021-10-22:nonempty_completed|2021-10-23:nonempty_completed,True
2021-10-23,observed_nonzero,1,1,0,1,1,0,1,0,2021-10-23|2021-10-24,2021-10-23:nonempty_completed|2021-10-24:nonempty_completed,True
2021-10-24,coverage_unknown,,2,0,2,2,0,2,0,2021-10-24|2021-10-25,2021-10-24:nonempty_completed|2021-10-25:empty_unverified,False
2021-10-25,coverage_unknown,,2,0,2,2,2,1,0,2021-10-25|2021-10-26,2021-10-25:empty_unverified|2021-10-26:nonempty_completed,False
2021-10-26,observed_nonzero,6,8,0,8,8,4,6,0,2021-10-26|2021-10-27,2021-10-26:nonempty_completed|2021-10-27:nonempty_completed,True
2021-10-27,observed_nonzero,2,2,0,2,2,0,2,0,2021-10-27|2021-10-28,2021-10-27:nonempty_completed|2021-10-28:nonempty_completed,True
2021-10-28,observed_nonzero,4,4,0,4,4,0,4,0,2021-10-28|2021-10-29,2021-10-28:nonempty_completed|2021-10-29:nonempty_completed,True
2021-10-29,observed_nonzero,2,3,0,3,3,2,2,0,2021-10-29|2021-10-30,2021-10-29:nonempty_completed|2021-10-30:nonempty_completed,True
2021-10-30,observed_nonzero,5,13,0,13,10,7,5,0,2021-10-30|2021-10-31,2021-10-30:nonempty_completed|2021-10-31:nonempty_completed,True
2021-10-31,observed_nonzero,2,2,0,2,2,0,2,0,2021-10-31|2021-11-01,2021-10-31:nonempty_completed|2021-11-01:nonempty_completed,True
2021-11-01,observed_nonzero,2,7,0,7,3,2,2,0,2021-11-01|2021-11-02,2021-11-01:nonempty_completed|2021-11-02:nonempty_completed,True
2021-11-02,observed_nonzero,5,8,0,8,8,5,5,0,2021-11-02|2021-11-03,2021-11-02:nonempty_completed|2021-11-03:nonempty_completed,True
2021-11-03,observed_nonzero,3,4,0,4,4,2,3,0,2021-11-03|2021-11-04,2021-11-03:nonempty_completed|2021-11-04:nonempty_completed,True
2021-11-04,observed_nonzero,6,8,0,8,6,0,6,0,2021-11-04|2021-11-05,2021-11-04:nonempty_completed|2021-11-05:nonempty_completed,True
2021-11-05,observed_nonzero,3,3,0,3,3,0,3,0,2021-11-05|2021-11-06,2021-11-05:nonempty_completed|2021-11-06:nonempty_completed,True
2021-11-06,observed_nonzero,3,3,0,3,3,0,3,0,2021-11-06|2021-11-07,2021-11-06:nonempty_completed|2021-11-07:nonempty_completed,True
2021-11-07,observed_nonzero,1,2,0,2,2,2,1,0,2021-11-07|2021-11-08,2021-11-07:nonempty_completed|2021-11-08:nonempty_completed,True
2021-11-08,observed_nonzero,2,2,0,2,2,0,2,0,2021-11-08|2021-11-09,2021-11-08:nonempty_completed|2021-11-09:nonempty_completed,True
2021-11-09,observed_nonzero,3,3,0,3,3,0,3,0,2021-11-09|2021-11-10,2021-11-09:nonempty_completed|2021-11-10:nonempty_completed,True
2021-11-10,observed_nonzero,2,2,0,2,2,0,2,0,2021-11-10|2021-11-11,2021-11-10:nonempty_completed|2021-11-11:nonempty_completed,True
2021-11-11,observed_nonzero,1,1,0,1,1,0,1,0,2021-11-11|2021-11-12,2021-11-11:nonempty_completed|2021-11-12:nonempty_completed,True
2021-11-12,observed_nonzero,1,1,0,1,1,0,1,0,2021-11-12|2021-11-13,2021-11-12:nonempty_completed|2021-11-13:nonempty_completed,True
2021-11-13,observed_nonzero,6,6,0,6,6,0,6,0,2021-11-13|2021-11-14,2021-11-13:nonempty_completed|2021-11-14:nonempty_completed,True
2021-11-14,observed_nonzero,6,7,0,7,7,2,6,0,2021-11-14|2021-11-15,2021-11-14:nonempty_completed|2021-11-15:nonempty_completed,True
2021-11-15,observed_nonzero,2,2,0,2,2,0,2,0,2021-11-15|2021-11-16,2021-11-15:nonempty_completed|2021-11-16:nonempty_completed,True
2021-11-16,observed_nonzero,2,2,0,2,2,0,2,0,2021-11-16|2021-11-17,2021-11-16:nonempty_completed|2021-11-17:nonempty_completed,True
2021-11-17,observed_nonzero,5,6,0,6,6,2,5,0,2021-11-17|2021-11-18,2021-11-17:nonempty_completed|2021-11-18:nonempty_completed,True
2021-11-18,observed_nonzero,3,3,0,3,3,0,3,0,2021-11-18|2021-11-19,2021-11-18:nonempty_completed|2021-11-19:nonempty_completed,True
2021-11-19,observed_nonzero,4,5,0,5,5,2,4,0,2021-11-19|2021-11-20,2021-11-19:nonempty_completed|2021-11-20:nonempty_completed,True
2021-11-20,observed_nonzero,4,6,0,6,6,4,4,0,2021-11-20|2021-11-21,2021-11-20:nonempty_completed|2021-11-21:nonempty_completed,True
2021-11-21,observed_nonzero,5,8,0,8,8,5,5,0,2021-11-21|2021-11-22,2021-11-21:nonempty_completed|2021-11-22:nonempty_completed,True
2021-11-22,observed_nonzero,5,8,0,8,8,4,5,0,2021-11-22|2021-11-23,2021-11-22:nonempty_completed|2021-11-23:nonempty_completed,True
2021-11-23,observed_nonzero,3,3,0,3,3,0,3,0,2021-11-23|2021-11-24,2021-11-23:nonempty_completed|2021-11-24:nonempty_completed,True
2021-11-24,observed_nonzero,2,3,0,3,3,2,2,0,2021-11-24|2021-11-25,2021-11-24:nonempty_completed|2021-11-25:nonempty_completed,True
2021-11-25,observed_nonzero,4,4,0,4,4,0,4,0,2021-11-25|2021-11-26,2021-11-25:nonempty_completed|2021-11-26:nonempty_completed,True
2021-11-26,observed_nonzero,8,9,0,9,9,2,8,0,2021-11-26|2021-11-27,2021-11-26:nonempty_completed|2021-11-27:nonempty_completed,True
2021-11-27,coverage_unknown,,0,0,0,0,0,0,0,2021-11-27|2021-11-28,2021-11-27:nonempty_completed|2021-11-28:empty_unverified,False
2021-11-28,coverage_unknown,,0,0,0,0,0,0,0,2021-11-28|2021-11-29,2021-11-28:empty_unverified|2021-11-29:nonempty_completed,False
2021-11-29,observed_nonzero,3,5,0,5,5,3,3,0,2021-11-29|2021-11-30,2021-11-29:nonempty_completed|2021-11-30:nonempty_completed,True
2021-11-30,observed_nonzero,2,3,0,3,3,2,2,0,2021-11-30|2021-12-01,2021-11-30:nonempty_completed|2021-12-01:nonempty_completed,True
2021-12-01,observed_nonzero,4,4,0,4,4,0,4,0,2021-12-01|2021-12-02,2021-12-01:nonempty_completed|2021-12-02:nonempty_completed,True
2021-12-02,coverage_unknown,,2,0,2,2,0,2,0,2021-12-02|2021-12-03,2021-12-02:nonempty_completed|2021-12-03:empty_unverified,False
2021-12-03,coverage_unknown,,3,0,3,3,2,2,0,2021-12-03|2021-12-04,2021-12-03:empty_unverified|2021-12-04:nonempty_completed,False
2021-12-04,observed_nonzero,3,5,0,5,5,3,3,0,2021-12-04|2021-12-05,2021-12-04:nonempty_completed|2021-12-05:nonempty_completed,True
2021-12-05,observed_nonzero,6,7,0,7,7,2,6,0,2021-12-05|2021-12-06,2021-12-05:nonempty_completed|2021-12-06:nonempty_completed,True
2021-12-06,observed_nonzero,6,9,0,9,9,5,6,0,2021-12-06|2021-12-07,2021-12-06:nonempty_completed|2021-12-07:nonempty_completed,True
2021-12-07,observed_nonzero,6,9,0,9,9,6,6,0,2021-12-07|2021-12-08,2021-12-07:nonempty_completed|2021-12-08:nonempty_completed,True
2021-12-08,observed_nonzero,5,5,0,5,5,0,5,0,2021-12-08|2021-12-09,2021-12-08:nonempty_completed|2021-12-09:nonempty_completed,True
2021-12-09,observed_nonzero,1,1,0,1,1,0,1,0,2021-12-09|2021-12-10,2021-12-09:nonempty_completed|2021-12-10:nonempty_completed,True
2021-12-10,observed_nonzero,4,4,0,4,4,0,4,0,2021-12-10|2021-12-11,2021-12-10:nonempty_completed|2021-12-11:nonempty_completed,True
2021-12-11,coverage_unknown,,5,0,5,5,4,3,0,2021-12-11|2021-12-12,2021-12-11:nonempty_completed|2021-12-12:empty_unverified,False
2021-12-12,coverage_unknown,,1,0,1,1,0,1,0,2021-12-12|2021-12-13,2021-12-12:empty_unverified|2021-12-13:nonempty_completed,False
2021-12-13,observed_nonzero,4,5,0,5,5,2,4,0,2021-12-13|2021-12-14,2021-12-13:nonempty_completed|2021-12-14:nonempty_completed,True
2021-12-14,observed_nonzero,2,2,0,2,2,0,2,0,2021-12-14|2021-12-15,2021-12-14:nonempty_completed|2021-12-15:nonempty_completed,True
2021-12-15,observed_nonzero,5,5,0,5,5,0,5,0,2021-12-15|2021-12-16,2021-12-15:nonempty_completed|2021-12-16:nonempty_completed,True
2021-12-16,observed_nonzero,4,7,0,7,7,5,4,0,2021-12-16|2021-12-17,2021-12-16:nonempty_completed|2021-12-17:nonempty_completed,True
2021-12-17,observed_nonzero,3,3,0,3,3,0,3,0,2021-12-17|2021-12-18,2021-12-17:nonempty_completed|2021-12-18:nonempty_completed,True
2021-12-18,observed_nonzero,1,1,0,1,1,0,1,0,2021-12-18|2021-12-19,2021-12-18:nonempty_completed|2021-12-19:nonempty_completed,True
2021-12-19,observed_nonzero,7,7,0,7,7,0,7,0,2021-12-19|2021-12-20,2021-12-19:nonempty_completed|2021-12-20:nonempty_completed,True
2021-12-20,observed_nonzero,3,4,0,4,4,2,3,0,2021-12-20|2021-12-21,2021-12-20:nonempty_completed|2021-12-21:nonempty_completed,True
2021-12-21,observed_nonzero,10,14,0,14,14,6,10,0,2021-12-21|2021-12-22,2021-12-21:nonempty_completed|2021-12-22:nonempty_completed,True
2021-12-22,coverage_unknown,,5,0,5,5,3,3,0,2021-12-22|2021-12-23,2021-12-22:nonempty_completed|2021-12-23:empty_unverified,False
2021-12-23,coverage_unknown,,0,0,0,0,0,0,0,2021-12-23|2021-12-24,2021-12-23:empty_unverified|2021-12-24:nonempty_completed,False
2021-12-24,observed_nonzero,8,11,0,11,11,6,8,0,2021-12-24|2021-12-25,2021-12-24:nonempty_completed|2021-12-25:nonempty_completed,True
2021-12-25,observed_nonzero,6,6,0,6,6,0,6,0,2021-12-25|2021-12-26,2021-12-25:nonempty_completed|2021-12-26:nonempty_completed,True
2021-12-26,observed_nonzero,10,12,0,12,12,4,10,0,2021-12-26|2021-12-27,2021-12-26:nonempty_completed|2021-12-27:nonempty_completed,True
2021-12-27,observed_nonzero,6,7,0,7,7,2,6,0,2021-12-27|2021-12-28,2021-12-27:nonempty_completed|2021-12-28:nonempty_completed,True
2021-12-28,observed_nonzero,7,8,0,8,7,0,7,0,2021-12-28|2021-12-29,2021-12-28:nonempty_completed|2021-12-29:nonempty_completed,True
2021-12-29,observed_nonzero,1,4,0,4,4,4,1,0,2021-12-29|2021-12-30,2021-12-29:nonempty_completed|2021-12-30:nonempty_completed,True
2021-12-30,observed_nonzero,6,6,0,6,6,0,6,0,2021-12-30|2021-12-31,2021-12-30:nonempty_completed|2021-12-31:nonempty_completed,True
2021-12-31,observed_nonzero,3,3,0,3,3,0,3,0,2021-12-31|2022-01-01,2021-12-31:nonempty_completed|2022-01-01:nonempty_completed,True
2022-01-01,observed_nonzero,4,6,0,6,6,4,4,0,2022-01-01|2022-01-02,2022-01-01:nonempty_completed|2022-01-02:nonempty_completed,True
2022-01-02,observed_nonzero,3,3,0,3,3,0,3,0,2022-01-02|2022-01-03,2022-01-02:nonempty_completed|2022-01-03:nonempty_completed,True
2022-01-03,observed_nonzero,4,5,0,5,5,2,4,0,2022-01-03|2022-01-04,2022-01-03:nonempty_completed|2022-01-04:nonempty_completed,True
